title,description,opportunity,risk,risk management,risk analysis,risk handling,risk tracking,opportunity management,risk identification
Risk Management in 3 Dimensions,"['risk', 'analysis', 'add', 'third', 'dimension', 'standard', 'likelihood', 'consequence', 'analysis', 'urgency', 'video', 'explains', 'third', 'dimension', 'help', 'better', 'characterize', 'project', 'risk']",0,0,1,1,0,0,0,0
AFIT / LS Risk Life Cycle Management Group,"['site', 'offer', 'resource', 'wishing', 'learn', 'risk', 'management', 'concept', 'policy', 'tool', 'technique', 'procedure']",1,1,0,0,0,0,0,0
Seven Key Steps for Project Risk Management,"['quick', 'read', 'nothing', 'earth shattering', 'ground breaking', 'good', 'discussion', 'early', 'warning', 'sign', 'expected', 'monetary', 'value', 'measure', 'overall', 'project', 'risk', 'exposure', 'risk', 'proximity', 'otherwise', 'known', 'urgency', 'velocity']",0,0,1,0,0,0,0,0
PMT 0170 Risk Management,"['risk', 'always', 'concern', 'dod', 'system', 'acquisition', 'process', 'acquisition', 'process', 'designed', 'large', 'degree', 'allow', 'risk', 'managed', 'conception', 'delivery', 'system', 'although', 'risk', 'inherent', 'program', 'risk', 'management', 'ensures', 'manager', 'take', 'measure', 'ass', 'handle', 'risk', 'module', 'focus', 'tool', 'process', 'used', 'manage', 'risk', 'defense', 'system', 'acquisition', 'project']",0,0,1,0,0,0,0,0
Guide for Applying the Risk Management Framework to Federal Information Systems,"['a341this', 'publication', 'provides', 'guideline', 'applying', 'risk', 'management', 'framework', 'rmf', 'federal', 'information', 'system', 'six step', 'rmf', 'includes', 'security', 'categorization', 'security', 'control', 'selection', 'security', 'control', 'implementation', 'security', 'control', 'assessment', 'information', 'system', 'authorization', 'security', 'control', 'monitoring', 'rmf', 'promotes', 'concept', 'near', 'real time', 'risk', 'management', 'ongoing', 'information', 'system', 'authorization', 'implementation', 'robust', 'continuous', 'monitoring', 'process', 'provides', 'senior', 'leader', 'necessary', 'information', 'make', 'cost effective', 'risk based', 'decision', 'regard', 'organizational', 'information', 'system', 'supporting', 'core', 'mission', 'business', 'function', 'integrates', 'information', 'security', 'enterprise', 'architecture', 'system', 'development', 'life', 'cycle', 'applying', 'rmf', 'within', 'enterprise', 'link', 'risk', 'management', 'process', 'information', 'system', 'level', 'risk', 'management', 'process', 'organization', 'level', 'risk', 'executive', 'function', 'establishes', 'line', 'responsibility', 'accountability', 'security', 'control', 'deployed', 'within', 'organizational', 'information', 'system', 'inherited', 'system', 'i e', 'common', 'control']",0,1,0,0,0,0,0,0
Risk Management Magazine - Learning from Corporate Collapse,"['hodge', 'n', '2019', 'february', '1', 'learning', 'corporate', 'collapse', 'http', 'www rmmagazine com 2019 02 01 learning from corporate collapse']",1,1,0,0,0,0,0,0
"Cyber tactics: risk, and how to manage it.","['tactic', 'consensus', 'among', 'spoke', 'summit', 'tactic', 'cyberspace', 'informed', 'sound', 'disciplined', 'risk', 'management', 'seems', 'true', 'offense', 'defense', 'especially', 'given', '22inherently', 'dual use', '22', 'nature', 'cyber', 'tool', 'several', 'panelist', 'alluded']",0,1,0,0,0,0,0,0
Crippling crypto weakness opens millions of smartcards to cloning | Ars Technica,"['interesting', 'article', 'risk', 'manufacturer', 'making', 'equipment', 'available', 'third', 'party', 'impact', 'security', 'case', 'specifically', 'related', 'cac', 'cloning']",0,1,0,0,0,0,0,0
Risk Management Guide for DoD Acquisition,"['assist', 'dod', 'contractor', 'program', 'manager', 'pm', 'program', 'office', 'integrated', 'product', 'team', 'ipts', 'effectively', 'managing', 'program', 'risk', 'entire', 'acquisition', 'process', 'including', 'sustainment']",0,1,0,0,0,0,0,0
Risk Management Overview,"['test', 'change', 'descrtiption', 'avolve', 'introduction', 'air', 'force', 'life', 'cycle', 'risk', 'management']",1,1,1,0,0,0,0,0
When is Risk Not a Risk? Part 1,"['hillson', '2004', 'risk', 'risk', 'part', '1', 'http', 'risk doctor com wp content uploads 2020 06 06 when is a risk not a risk part 1 pdf']",1,1,1,0,0,0,0,0
Now that I have a risk list...what do I do about them?,"['excerpt', 'afit', 'ipm', '301', 'risk', 'management', 'lesson', 'describes', 'common', 'best', 'practice', 'handling', 'project', 'risk']",0,0,1,0,0,0,0,0
