file_name,title,description,topics,keywords,contentType,contentSubType
0a59a6dc-9a3d-4740-8c27-459fb603e184.json,How-to Closed Caption,A guide to how to make your video 503 compliant,"['Avolve Hub->Contributing Content', 'Avolve Hub->Learning Paths', 'Avolve Hub->How to Use Avolve']","['closed captions', 'captions', 'avolve', 'learning path', 'how-to']",File,Video
00a9bd58-069a-4899-877d-4c90278f2f10.json,What is Spamming | Types | Anti-Spamming | Cyber Security, ,['Cyber Education Hub->Attack And Exploit Concepts'],[],Web Resource,YouTube
00dd46bd-c525-4d63-b394-8a870bd4280d.json,Cross Site Request Forgery - Computerphile,"If you don't secure your web forms, one mistaken click could be all it takes for your users to delete their own accounts. Tom Scott explains.",['Cyber Education Hub->Attack And Exploit Concepts'],[],Web Resource,YouTube
00adf908-5fc2-4e26-bec6-bf3f01cd5bae.json,The internet of things | Jordan Duffy | TEDxSouthBank,"The future is here. In this talk, Jordan Duffy, a serial entrepreneur and technology innovation expert, explores how the internet of things is changing our lives in ways we don't even recognise.  Jordan Duffy is a serial entrepreneur, technology innovation expert and, at the age of 21, co-owns Buckham & Duffy, an innovation and rapid development firm with 18 employees. Jordan�s passion for technology and business started at home assembling computers, and his entrepreneurial journey started at age 14 with business partner Alex Buckham. Alex and Jordan have been growing businesses for eight years. Business aside, Jordan is an avid self-educator and driven change maker. He has seen 15 countries, battled cancer and chronic pain, and played drums on the Great Wall of China in the 2008 Olympic Orchestra",['Cyber Education Hub->Technology Stacks And Vulnerabilities->Cloud Computing'],[],Web Resource,YouTube
0a2f88ea-4d20-407d-b089-4b2fb8b88e46.json,Beginners: How does the mobile technology work?,This video describes how mobile technology works in general and explains this by comparing it with how the landline phones work,['Cyber Education Hub'],[],Web Resource,YouTube
00ee24a2-d2e8-4730-950c-c0b7d6fe3cde.json,There and Back Again: A Packet's Tale. How Does the Internet Work?,"How does the Internet really work? This clip lets you ride shotgun with a packet of data�one of trillions involved in the trillions of Internet interactions that happen every second. Look deep beneath the surface of the most basic Internet transaction, and follow the packet as it flows from your fingertips, through circuits, wires, and cables, to a host server, and then back again, all in less than a second.",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
0a891e4b-5a1b-48e2-aa43-788603d868f2.json,Remote Exploitation of an Unaltered Passenger Vehicle,"Car security research is interesting for a general audience because most people have cars andunderstand the inherent dangers of an attacker gaining control of their vehicle. Automotive securityresearch, for the most part, began in 2010 when researchers from the University of Washington and theUniversity of California San Diego [1] showed that if they could inject messages into the CAN bus of avehicle (believed to be a 2009 Chevy Malibu) they could make physical changes to the car, such ascontrolling the display on the speedometer, killing the engine, as well as affecting braking. This researchwas very interesting but received widespread criticism because people claimed there was not a way foran attacker to inject these types of messages without close physical access to the vehicle, and with thattype of access, they could just cut a cable or perform some other physical attack. ","['Technology Stacks And Vulnerabilities', 'Embedded Systems']","['control', 'hacking', 'vehicle', 'vulnerabilities']",File,PDF
00fb7052-6ede-4082-91be-8d355250b822.json,Key Terrain in Cyberspace: Seeking the High Ground,"In military doctrine, key terrain refers to areas which, if seized, afford an advantageto an attacker or defender. When applied to geographic terrain, this defi nition is clear. Keyterrain might include a hill that overlooks a valley an enemy wants to control or a crossing pointover a river that must be traversed before launching an attack. By defi nition, dominance of keyterrain is likely to decide the overall outcome of a battle. While cyber key terrain is similarto geographic key terrain in some ways, there are also signifi cant and often counterintuitivedifferences. Some consider cyber terrain to be tied to a physical location and to be representedin cyberspace by routers, switches, cables, and other devices. We will argue that key terrainin cyberspace exists at all of the cyberspace planes, which include the geographic, physical,logical, cyber persona, and supervisory planes [1]. In many cases, features of cyber terrain willnot be tied to a specifi c location, or the geographic location will be irrelevant. In this paperwe deconstruct and analyze cyber key terrain, provide a generalized framework for criticalanalysis, and draw parallels between cyber and physical key terrain while providing examplesof key terrain in cyber operations. During a cyber operation, an analysis of key terrain will aid inthe strategy and tactics of both the offense and the defense. During peacetime, an understandingof cyber key terrain can be employed broadly, ranging from helping a system administratorfocus scarce resources to defend his network all the way to allowing nation-state militaries todevelop long-lasting and effective doctrine.",['Cyber Education Hub->Law And Doctrine->Law'],"['cyber operations', 'cyber terrain', 'key terrain', 'terrain analysis']",Web Resource,PDF
0bbae155-3cc5-450b-8145-ac0a166913f6.json,Hacking Websites with SQL Injection - Computerphile,Websites can still be hacked using SQL injection - Tom explains how sites written in PHP (and other languages too) can be vulnerable and have basic security issues.,"['Cyber Education Hub->Engineering And Development->Security Engineering', 'Cyber Education Hub->Technology Stacks And Vulnerabilities']",['sql injection'],Web Resource,YouTube
0a9d5421-992b-4440-ac4b-a41e7d18f637.json,"Fraud, Waste, and Abuse SBIR Program Training for Small Business",TBD,['Acquisition Hub->Contracting'],"['afwerx', 'sbir']",File,PDF
0ad693c8-ef93-49f4-bead-2362d9e36d27.json,"Russia's 2016 cyber tactics, explained","Russian trolls and hackers targeted social media networks, political organizations and state election systems during the 2016 election. Here's what we know about the Kremlin's playbook for creating division in the U.S. Subscribe to The Washington Post on YouTube: http://bit.ly/2qiJ4dy","['Cyber Education Hub->Actors And Agendas->Advanced Persistent Threats', 'Cyber Education Hub->Technology Stacks And Vulnerabilities']",[],Web Resource,YouTube
0ae475dd-b696-4b30-8200-64ab384eca74.json,Risk Management in 3 Dimensions,"When doing risk analysis, you can add a third dimension to the standard Likelihood and Consequence analysis - Urgency.  This video explains what this third dimension is and how it can help you better characterize your project risks.","['Acquisition Hub->Program Management->Technical->Project Risk Management', 'Acquisition Hub->Engineering->Technical Management Processes->Risk Management']","['risk management', 'risk analysis']",File,Video
0c08daed-8314-434e-9479-367e58a895ce.json,How to Perform Network Fingerprinting with Maltego,"Maltego is a great tool for any white hat hacker, pentester, or digital security professional. One of the uses is fingerprinting an entire network, and we can do that just by starting out with a single website domain. You can view all the technical details about a target network, including name server, MX server, DNS server, IP addresses, IP netblocks, AS number, and more.",['Cyber Education Hub->Attack And Exploit Concepts->Exploit Tools And Techniques'],[],Web Resource,YouTube
0bf69320-ec94-4804-8175-522e9b7674a8.json,Authoritative Data Sources,"Welcome to the IPPS-A Commanders Course. In this video we will describe the Authoritative Data Sources, or ADS, that IPPS-A uses in Release 2.",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],"['authoritative', 'data', 'sources']",Web Resource,YouTube
0bedca88-bb0e-420b-9a2f-e843c45325c8.json,Reverse Engineering Basics,Presentation and Demonstration on the basics of reverse engineering.,"['Cloud Computing', 'Technology Stacks And Vulnerabilities', 'DevSecOps']",[],File,Video
0b822bcd-8939-4837-ad03-a3bde055197b.json,Disinformation Spurs a Thriving Industry as U.S. Election Looms | Threatpost,"Threat actors are becoming increasingly sophisticated in launching disinformation campaigns – and staying under the radar to avoid detection from Facebook, Twitter and other platforms.",['Cyber Education Hub->Law And Doctrine->Law'],"['disinformation', 'election security', 'facebook', 'hacks', 'malware', 'misinformation', 'mobile security', 'privacy', 'twitter', 'us elections', 'vulnerabilities', 'web security']",Web Resource,Web Page
0af3893c-8657-4305-a1e9-d9a0eff34cd7.json,What is a script? How do the scripts work and where are they being used?,"The scripts are lying at the basis of any content-driven website. They define how the website behaves in response to all the click requests sent by the surfers, thus miraculously completely automating the processes on the local computer.",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],"['click', 'content-driven', 'local computer', 'script', 'scripts', 'surfers', 'website']",Web Resource,Web Page
0cc80292-a2dd-4256-ad10-25335edbd001.json,Deception as an Offensive/Defensive Cyber Tool,Teaching video on using deception as tool to defend against cyber attacks,"['Cyber Education Hub->Technology Stacks And Vulnerabilities', 'Cyber Education Hub->Attack And Exploit Concepts', 'Cyber Education Hub->Defense And Security Concepts', 'Cyber Education Hub->Leadership Perspectives']",[],File,Video
0eafffec-12db-4c38-b43c-94e842973ffb.json,AFIT / LS Risk Life Cycle Management Group,"This site offers resources for those wishing to learn more about risk management concepts, policies, tools, techniques, and procedures.",['Acquisition Hub->Program Management->Technical->Project Risk Management'],"['risk', 'risk management ', 'risk attitude', 'threat', 'opportunity', 'uncertainty', 'consequence ', 'future', 'objective']",Web Resource,Web Page
0cb11111-2803-4d17-959c-f5a8f3079267.json,Create Test Data Models,"This video describes how test data engineers (TDEs) use the CA Test Data Manager Portal to create test data models that facilitate the data reservation process for testers. The CA TDM Portal helps organizations manage the full life-cycle of test data reservation. It lets TDEs create test data models, which simplify the overall data reservation process by encapsulating the automatic creation and management of test data marts. Furthermore, by sharing the test data models with testers as dynamic self-service forms, the Portal also ensures that the data becomes available to testers in minutes, allowing them to easily find, view, analyze, and reserve the test data on demand. This video was recorded using CA Test Data Manager r4.2.

For more information about working with the CA TDM Portal, see https://docops.ca.com/tdm","['Technology Stacks And Vulnerabilities', 'Defense Activities', 'Leadership Perspectives']","['test models', 'test', 'models']",Web Resource,YouTube
0d6639c9-cae3-465d-8aaa-6f18780ad704.json,Managing Cyber-risk: Unlocking the Mystery of the Boardroom,"Aileen Alexander, Senior Client Partner, Co-Lead, Global Cybersecurity Practice, Korn FerryCybersecurity is high on the agenda for corporate boards but the boardroom can be a mystery. Join this conversation to understand cybersecurity through the lens of a Fortune 5 corporate director.",['Cyber Education Hub'],[],Web Resource,YouTube
0cee7d99-38dc-9cd0-9d74-2c7e69f61d4f.json,Add New Lead Into AFRISS,A how to on adding leads into AFRISS,"['Recruiter Hub->Lead Generation', 'Recruiter Hub->Lead Prospecting', 'Recruiter Hub->General']","['311 rcs', '339 rcs', '360 rcg', 'afrs', 'afriss', 'afriss-tf', 'air force recruiting service', 'training', 'recruiters', 'recruiting']",Web Resource,YouTube
0ca16ce7-bb92-5664-a507-28f3d8630522.json,C3I&N Level-Ups Network Defense,LevelUP Cyber Works is a “cyber factory” that will develop and field new capabilities. Unified Platform is a cyberspace operations system for those future cyber mission force capabilities.,['DevSecOps Hub->USAF Organizations->LevelUP'],[],Web Resource,Web Page
01c81714-29a5-403d-ba40-9af89e6f70ca.json,The OSI Model Demystified, ,['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
1a078a47-7336-47e4-ab48-b81a44fc0d5a.json,Short-term cyber-attacks with long-term effects and degradation of supply chain capability,"Historically, cyber-attacks targeting computer networks have sometimes favoredthe attacker over the defender, resulting in great loss of information or denial of service.This thesis investigates the possibility that short-term cyber-attacks on network supplychains may conceal more sinister plans to destroy the long-term operational effectivenessfor supplying goods during periods of critical needs. Using a life-cycle approach,quantifiable metrics were used to compare short-term risks with long-term risks in anetwork supply chain to establish the existence of black swan events. ",['Attack And Exploit Concepts'],['cyber'],File,PDF
1aa14fa0-9588-43f6-b0ea-19e525a24b71.json,Introduction to the Nessus Vulnerability Scanner,This video provides a brief introduction and demonstration of the Tenable Nessus vulnerability scanner.,['Cyber Education Hub->Attack And Exploit Concepts->Exploit Tools And Techniques'],[],Web Resource,YouTube
1a4c6aaa-d247-4c61-8e7d-871f3faff4f3.json,Digital Twins Teaching Video,This is an educational video on the subject of Digital Twins Technology.,['Artificial Intelligence Hub->Employ AI'],"['digital twins', 'engineering', 'technology']",File,Video
0ddfc4c7-5586-8012-d390-604ddb0632c7.json,Why Kessel run is such a big deal,FCW Magazine Article,"['DevSecOps Hub->USAF Organizations->Kessel Run', 'DevSecOps Hub->DevOps']",[],Web Resource,Web Page
