title,description,cyber,innovation,acquisition,cybersecurity,toc,intelligence,theory of constraints,tesseract,intelligence analysis,python data science,training,mbse,digital engineering,digital,afit,cyber security
Add New Lead Into AFRISS,"['adding', 'lead', 'afriss']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Short-term cyber-attacks with long-term effects and degradation of supply chain capability,"['historically', 'cyber attacks', 'targeting', 'computer', 'network', 'sometimes', 'favoredthe', 'attacker', 'defender', 'resulting', 'great', 'loss', 'information', 'denial', 'service this', 'thesis', 'investigates', 'possibility', 'short term', 'cyber attacks', 'network', 'supplychains', 'may', 'conceal', 'sinister', 'plan', 'destroy', 'long term', 'operational', 'effectivenessfor', 'supplying', 'good', 'period', 'critical', 'need', 'using', 'life cycle', 'approach', 'quantifiable', 'metric', 'used', 'compare', 'short term', 'risk', 'long term', 'risk', 'anetwork', 'supply', 'chain', 'establish', 'existence', 'black', 'swan', 'event']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFIT WKS 0665 - Current Topics In Cyber For Air Force Weapon Systems,"['purpose', 'workshop', 'provide', 'current', 'education', 'consultation', 'cyber related', 'topic', 'air', 'force', 'weapon', 'system', 'system', 'security', 'engineering', 'program', 'protection', 'risk', 'assessment', 'requirement', 'system', 'analysis', 'logistics', 'note', 'professional', 'actively', 'proceeding', 'aware', 'learning', 'path', 'cognizant', 'course', 'conducted', 'certain', 'time', 'aflcmc', 'focus', 'week', 'workshop', 'administered', 'aflcmc', 'focus', 'week', 'registered', 'prior', 'focus', 'week', 'going', 'acqnow', 'register', 'going', 'acqnow', 'career', 'search', 'cl', 'event', 'search', 'catalog', 'filter', 'aflcmc', 'focus', 'week', 'search', 'wksp', '0665', 'professional', 'must', 'wait', 'certain', 'course', 'begin', 'mean', 'continue', 'along', 'path', 'course', 'wait', 'plenty', 'course', 'along', 'path', 'taken', 'time', 'without', 'prerequisite', 'professional', 'never', 'need', 'remain', 'idle', 'wait', 'certain', 'course', 'question', 'aware', 'path', 'reach', 'crow', 'ed', 'aflcmc crows edu', 'us af mil']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The psychological effects of cyber terrorism,"['ordinary', 'citizen', 'think', 'cyber', 'threat', 'probably', 'worried', 'password', 'banking', 'detail', 'terrorist', 'attack', 'thought', 'shooting', 'mall', 'bombing', 'airport', 'probably', 'frightening', 'cyber', 'breach', 'yet', 'terrorist', 'aim', 'mental', 'well', 'physical', 'destruction', 'research', 'found', 'depending', 'attacker', 'victim', 'psychological', 'effect', 'cyber', 'threat', 'rival', 'traditional', 'terrorism']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cyber Risk Evaluation Framework based on Risk Environment of Military Operation,"['cyber', 'attacking', 'one', 'concerningthreats', 'military', 'operation', 'nowadays', 'cyber', 'warfareconcept', 'cyberspace', 'logical', 'comparing', '4battlefields', 'including', 'land', 'water', 'air', 'space', 'almostimpossible', 'identify', 'physical', 'location', 'host', 'inlatitude longitude', 'even', 'direction', 'distance', 'one', 'toanother', 'traditional', 'boundary', 'disappear', 'within', 'cyberspace moreover', 'separated', 'activity', 'done', 'many', 'locationsvia', 'com', 'puter', 'network', 'information', 'age', 'informationsuperiority', 'translated', 'combat', 'power', 'robust', 'securenetwork', 'significantly', 'needed', 'core', 'medium', 'informationoperation', 'e g', 'censoring', 'sharing', 'however', 'cyber', 'riskenvironment', 'battlefield', 'yet', 'clarified', 'vulnerabilitydetection', 'penetration', 'testing', 'risk', 'evaluation', 'part', 'ofnetwork', 'security', 'therefore', 'paper', 'proposes', 'cyber riskevaluation', 'framework', 'integrates', '22network', 'risk', 'metric', '22and', '22risk', 'environment', '22', 'military', 'operation', 'together', 'orderto', 'get', 'better', 'understanding', 'cyber', 'risk', 'battlefield']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cyber Hygiene for Aircraft and Equipment Maintenance Management,"['introduction', 'critical', 'role', 'cyber', 'hygiene', 'play', 'action', 'aircraft', 'equipment', 'maintenance', 'management', 'personnel', 'make', 'every', 'day', 'afrl', 'crow', 'cytcoe']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyber is being normalized with traditional military operations,"['cyber', 'effect', 'normalized', 'integrated', 'traditional', 'operation', 'especially', 'middle', 'east', 'according', 'region', 'top', 'you s', 'military', 'commander']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chief Information Officer > Cyber Workforce,"['website', 'defining', 'compliance', 'federal', 'cybersecurity', 'workforce', 'assessment', 'act', '2015', 'impact', 'cyberspace', 'workforce', 'management']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
How DoD can integrate cyber into battle plans,"['service', 'working', 'staff', 'new', 'cyber', 'planning', 'cell', 'combatant', 'command', 'help', 'integrate', 'cyber', 'traditional', 'military', 'operation']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security Principles PowerPoint,"['security', 'system', 'requirement', 'likeperformance', 'capability', 'cost', 'etc therefore', 'may', 'necessary', 'trade', 'offcertain', 'security', 'requirement', 'gain', 'others']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
